Cow ID,Tag,Grp number,Group name,Colour,,Origin,Age,Gyn status,Last PD test,Pregnancy status,Expected calving date,Calving date,Daily average yield,Lact Number,DIM,Dead Quarter,Health status,Medical record,Avg. weight
17,111046878,3,Low Prod,Black and white,Holstein Friesian,,,(PD-) Insemination,,,,,--,1,210,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",--
23,111045542,3,Low Prod,Black and white,Holstein Friesian,Nzega,6.5,Pregnant,10/5/2026,,,Jun-25,2,1,315,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",666
29,111046583,3,Low Prod,Brown and white,Ayshire,Iringa,,(PD-) Insemination,10/5/2026,,,Dec-25,3.9,1,322,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",463
30,111042337,3,Low Prod,Black and white,Holstein Friesian,,,Pregnant,10/5/2026,,,,1.1,1,321,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",562
32,111043389,3,Low Prod,Black and white,Holstein Friesian,Mbeya,4,Fresh,10/5/2026,,,Oct-25,8.2,1,544,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",649
34,111096007,3,Low Prod,Black and white,Holstein Friesian,,,Insemination,10/5/2026,,,,--,2,179,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",--
44,111045395,3,Low Prod,Black and white,Holstein Friesian,Nzega,2.5,Fresh,10/5/2026,,,26-May,10.3,1,179,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",559
54,111045521,3,Low Prod,Black and white,Holstein Friesian,,,Insemination,10/5/2026,,,,--,1,213,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",--
55,111038647,3,Low Prod,Black and white,Holstein Friesian,Nzega,5,Pregnant,10/5/2026,6 months,,Dec-25,7.1,1,267,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",514
65,111045604,3,Low Prod,Brown wnd white,Ayshire,Nzega,7,Fresh,10/5/2026,,,May-26,3.8,4,544,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",379
109,111041379,3,Low Prod,Brown and white,Ayshire,Mbeya,4,Fresh,10/5/2026,,,May-26,5.8,2,179,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",385
116,111042207,3,Low Prod,Black and white,Holstein Friesian,Nzega,3.5,(PD-) Insemination,10/5/2026,,,,13.7,1,179,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",715
209,111047014,3,Low Prod,Black and white,Holstein Friesian,Dodoma,6,Fresh,10/5/2026,,,Apr-26,8.3,1,360,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",508
268,111041315,3,Low Prod,Black and white,Holstein Friesian,Nzega,3,(PD-) Insemination,10/5/2026,,,Oct-25,2.1,1,352,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",605
326,111041338,3,Low Prod,Black and white,Holstein Friesian,,,Pregnant,10/5/2026,,,,8.3,1,332,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",559
445,111096800,3,Low Prod,Black and white,Holstein Friesian,Nzega,3.5,Fresh,10/5/2026,,,Mar-26,10.5,2,33,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",494
458,111043424,3,Low Prod,Black and white,Holstein Friesian,Nzega,4,Pregnant,10/5/2026,3 months,,Dec-25,5.8,1,231,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",436
S13,111041171,3,Low Prod,Black and white,Holstein Friesian,Mbeya,6,Fresh,10/5/2026,,,Aug-25,16.5,2,55,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",522
1296,111043379,3,Low Prod,Black and white,Holstein Friesian,S.A,2.5,Fresh,10/5/2026,,,Jun-26,8.4,1,267,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",490
1449,111046230,3,Low Prod,Black and white,Holstein Friesian,Mbeya,,Fresh,10/5/2026,,,Sep-25,11.6,1,243,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",520
13724,111047209,3,Low Prod,Black and white,Holstein Friesian,,,Fresh,10/5/2026,,,,16.6,2,6,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",469
20002,111096792,3,Low Prod,Black and white,Holstein Friesian,Nzega,6.5,Fresh,10/5/2026,,,Dec-25,11.6,1,179,,,"Dewormed(4th June 2026, CBPP vaccinated, LSD vaccinated, FMD Vaccinated)",483
